ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
688017.SH,2025-11-25,147.0,147.71,143.53,143.71,145.51,-1.8,-1.237,42573.37,619582.563
688017.SH,2025-11-26,142.8,146.68,141.9,145.31,143.71,1.6,1.1134,33433.77,485260.795
688017.SH,2025-11-27,145.01,147.55,144.2,144.8,145.31,-0.51,-0.351,27959.64,407693.571
688017.SH,2025-11-28,144.4,147.35,143.0,146.93,144.8,2.13,1.471,32613.73,475005.953
688017.SH,2025-12-01,146.71,149.9,146.53,149.9,146.93,2.97,2.0214,35684.79,529618.461
688017.SH,2025-12-02,149.97,149.97,144.12,144.39,149.9,-5.51,-3.6758,34518.87,504531.019
688017.SH,2025-12-03,144.92,145.98,142.86,145.45,144.39,1.06,0.7341,19869.36,285857.045
688017.SH,2025-12-04,150.0,157.66,149.32,153.21,145.45,7.76,5.3352,93297.52,1429965.349
688017.SH,2025-12-05,152.0,157.5,151.43,157.49,153.21,4.28,2.7936,60830.22,944534.89
688017.SH,2025-12-08,157.32,159.8,155.07,158.92,157.49,1.43,0.908,58745.64,926072.651
688017.SH,2025-12-09,157.11,160.77,156.61,157.79,158.92,-1.13,-0.711,39424.23,625333.051
688017.SH,2025-12-10,156.61,158.94,156.13,158.27,157.79,0.48,0.3042,32530.9,512490.126
688017.SH,2025-12-11,158.19,158.9,153.8,153.84,158.27,-4.43,-2.799,40635.61,633183.616
688017.SH,2025-12-12,153.29,155.0,150.79,153.5,153.84,-0.34,-0.221,51119.9,781812.194
688017.SH,2025-12-15,153.0,157.77,152.2,153.67,153.5,0.17,0.1107,42062.12,656366.202
688017.SH,2025-12-16,152.99,155.35,149.9,150.68,153.67,-2.99,-1.9457,26722.6,405223.24
688017.SH,2025-12-17,151.0,155.0,150.03,154.66,150.68,3.98,2.6414,29266.69,447009.752
688017.SH,2025-12-18,152.17,156.22,151.48,151.76,154.66,-2.9,-1.8751,26082.51,400212.27
688017.SH,2025-12-19,152.9,156.28,152.9,154.14,151.76,2.38,1.5683,28150.9,435608.737
688017.SH,2025-12-22,157.27,160.85,155.15,159.35,154.14,5.21,3.38,52834.05,835792.041
688017.SH,2025-12-23,159.24,159.24,155.6,156.35,159.35,-3.0,-1.8826,33407.95,525159.897
688017.SH,2025-12-24,156.38,159.96,155.6,159.75,156.35,3.4,2.1746,34221.73,540888.178
688017.SH,2025-12-25,160.89,170.0,159.82,167.24,159.75,7.49,4.6886,72028.71,1191681.63
688017.SH,2025-12-26,167.2,172.0,165.2,169.48,167.24,2.24,1.3394,61369.79,1032276.575
688017.SH,2025-12-29,168.42,179.45,168.11,175.01,169.48,5.53,3.2629,83248.97,1451660.766
688017.SH,2025-12-30,172.02,200.0,171.5,191.1,175.01,16.09,9.1938,149692.73,2760467.222
688017.SH,2025-12-31,191.07,196.52,185.21,192.1,191.1,1.0,0.5233,112156.56,2145182.213
688017.SH,2026-01-05,187.5,196.0,187.03,191.06,192.1,-1.04,-0.5414,100185.97,1917090.78
688017.SH,2026-01-06,191.36,203.77,191.36,199.8,191.06,8.74,4.5745,112850.29,2219699.366
688017.SH,2026-01-07,195.0,198.66,189.18,190.88,199.8,-8.92,-4.4645,108176.58,2087339.2
688017.SH,2026-01-08,189.0,194.66,188.0,191.0,190.88,0.12,0.0629,69907.9,1340199.411
688017.SH,2026-01-09,190.0,199.77,190.0,195.7,191.0,4.7,2.4607,87825.44,1720297.801
688017.SH,2026-01-12,196.08,199.88,191.83,198.0,195.7,2.3,1.1753,94856.33,1861843.822
688017.SH,2026-01-13,197.88,215.24,195.0,205.0,198.0,7.0,3.5354,143387.71,2975491.459
688017.SH,2026-01-14,203.0,220.66,198.6,200.0,205.0,-5.0,-2.439,145357.15,3024784.175
688017.SH,2026-01-15,199.6,205.8,195.08,200.87,200.0,0.87,0.435,99746.3,1988296.026
688017.SH,2026-01-16,201.03,228.66,201.03,220.5,200.87,19.63,9.7725,156545.63,3395532.602
688017.SH,2026-01-19,223.0,224.92,213.8,214.35,220.5,-6.15,-2.7891,117041.39,2555126.275
688017.SH,2026-01-20,214.42,223.3,212.61,216.44,214.35,2.09,0.975,91895.86,1993758.519
688017.SH,2026-01-21,212.78,219.97,210.5,215.0,216.44,-1.44,-0.6653,78433.63,1683120.643
688017.SH,2026-01-22,216.0,221.03,207.89,211.7,215.0,-3.3,-1.5349,81840.67,1747403.218
688017.SH,2026-01-23,211.5,224.5,211.5,216.21,211.7,4.51,2.1304,80359.23,1746396.58
688017.SH,2026-01-26,225.0,229.68,203.68,204.4,216.21,-11.81,-5.4623,115530.23,2462211.59
688017.SH,2026-01-27,203.7,224.1,200.94,221.0,204.4,16.6,8.1213,125591.32,2657945.783
688017.SH,2026-01-28,218.0,219.88,208.89,210.54,221.0,-10.46,-4.733,80315.96,1709290.222
688017.SH,2026-01-29,210.4,224.22,210.2,212.46,210.54,1.92,0.9119,91245.65,1985136.211
688017.SH,2026-01-30,212.96,241.98,205.12,229.0,212.46,16.54,7.785,147291.4,3267485.728
688017.SH,2026-02-02,226.0,232.28,216.28,219.28,229.0,-9.72,-4.2445,113605.5,2533922.586
688017.SH,2026-02-03,220.54,230.0,216.0,224.99,219.28,5.71,2.604,110344.82,2478793.128
688017.SH,2026-02-04,221.56,223.99,212.5,216.51,224.99,-8.48,-3.7691,87283.59,1890596.781
688017.SH,2026-02-05,210.0,211.82,202.8,205.12,216.51,-11.39,-5.2607,80441.67,1658421.489
688017.SH,2026-02-06,202.0,224.68,198.48,217.4,205.12,12.28,5.9867,122211.14,2616926.611
688017.SH,2026-02-09,221.0,227.0,215.5,226.12,217.4,8.72,4.011,88915.46,1970498.504
688017.SH,2026-02-10,226.5,233.78,225.0,229.0,226.12,2.88,1.2737,82858.95,1897416.604
688017.SH,2026-02-11,228.0,236.8,225.01,228.8,229.0,-0.2,-0.0873,61530.46,1416120.489
688017.SH,2026-02-12,230.51,237.66,229.79,234.48,228.8,5.68,2.4825,73563.79,1720232.303
688017.SH,2026-02-13,231.0,242.53,228.25,242.38,234.48,7.9,3.3692,99918.58,2373978.672
688017.SH,2026-02-24,242.42,248.42,226.0,232.7,242.38,-9.68,-3.9937,130951.59,3086510.608
688017.SH,2026-02-25,228.05,237.88,223.01,236.6,232.7,3.9,1.676,94006.93,2157291.295
688017.SH,2026-02-26,233.0,243.95,230.9,237.03,236.6,0.43,0.1817,87770.45,2091416.355
688017.SH,2026-02-27,233.0,237.9,229.3,232.37,237.03,-4.66,-1.966,57213.52,1335099.684
688017.SH,2026-03-02,224.0,235.0,222.35,227.55,232.37,-4.82,-2.0743,84157.9,1913594.894
688017.SH,2026-03-03,226.9,229.0,209.05,209.58,227.55,-17.97,-7.8972,104316.82,2260971.692
688017.SH,2026-03-04,208.91,214.88,208.91,211.2,209.58,1.62,0.773,58432.72,1241869.454
688017.SH,2026-03-05,217.95,218.18,211.66,212.99,211.2,1.79,0.8475,44026.24,946779.48
688017.SH,2026-03-06,212.66,216.88,211.69,212.45,212.99,-0.54,-0.2535,35822.47,766749.533
688017.SH,2026-03-09,204.03,209.66,200.1,208.34,212.45,-4.11,-1.9346,59425.09,1211869.114
688017.SH,2026-03-10,212.04,217.3,211.0,215.8,208.34,7.46,3.5807,54413.47,1165302.465
688017.SH,2026-03-11,214.66,215.55,208.35,208.7,215.8,-7.1,-3.2901,46716.07,988295.059
688017.SH,2026-03-12,207.96,210.68,203.0,204.71,208.7,-3.99,-1.9118,38129.86,785515.453
688017.SH,2026-03-13,202.51,204.34,197.6,198.0,204.71,-6.71,-3.2778,46016.19,923659.707
688017.SH,2026-03-16,195.51,197.98,189.7,196.25,198.0,-1.75,-0.8838,50530.98,976107.04
688017.SH,2026-03-17,197.46,198.49,190.51,190.51,196.25,-5.74,-2.9248,35343.17,686064.842
688017.SH,2026-03-18,192.8,197.49,191.3,194.8,190.51,4.29,2.2519,33981.61,661795.264
688017.SH,2026-03-19,190.02,193.95,189.0,189.65,194.8,-5.15,-2.6437,36341.63,695063.844
688017.SH,2026-03-20,192.8,193.03,186.0,186.02,189.65,-3.63,-1.9141,36152.67,685601.646
688017.SH,2026-03-23,183.71,193.5,180.03,180.88,186.02,-5.14,-2.7631,67166.69,1255990.273
688017.SH,2026-03-24,183.6,185.5,176.1,181.99,180.88,1.11,0.6137,44571.64,802627.842
688017.SH,2026-03-25,183.05,189.85,183.05,187.97,181.99,5.98,3.2859,49128.14,920454.206
688017.SH,2026-03-26,187.92,193.33,186.6,188.3,187.97,0.33,0.1756,51148.99,970703.104
688017.SH,2026-03-27,185.01,190.28,182.8,187.66,188.3,-0.64,-0.3399,39583.22,739114.591
688017.SH,2026-03-30,183.0,192.12,183.0,191.26,187.66,3.6,1.9184,41323.45,779614.026
688017.SH,2026-03-31,191.99,194.85,187.1,187.16,191.26,-4.1,-2.1437,41429.83,790145.745
688017.SH,2026-04-01,192.11,205.68,192.11,201.99,187.16,14.83,7.9237,92425.9,1845542.023
688017.SH,2026-04-02,200.0,200.76,192.58,193.5,201.99,-8.49,-4.2032,45663.02,895328.45
688017.SH,2026-04-03,193.49,195.0,186.51,187.3,193.5,-6.2,-3.2041,44762.45,847178.659
688017.SH,2026-04-07,187.9,189.49,183.41,185.66,187.3,-1.64,-0.8756,30490.48,567862.637
688017.SH,2026-04-08,195.0,203.5,193.0,203.45,185.66,17.79,9.582,71686.86,1430841.837
688017.SH,2026-04-09,199.99,202.12,197.35,199.28,203.45,-4.17,-2.0496,39799.76,794983.83
688017.SH,2026-04-10,202.1,207.98,201.08,204.0,199.28,4.72,2.3685,50437.54,1032432.468
688017.SH,2026-04-13,201.0,206.5,200.02,202.98,204.0,-1.02,-0.5,39534.54,804451.104
688017.SH,2026-04-14,206.19,207.85,202.73,206.9,202.98,3.92,1.9312,44242.27,908834.735
