ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma20,ma60,ma120,macd_diff,macd_dea,macd_hist,rsi14,daily_return,volatility20,drawdown,volume_ma20
688017.SH,2025-09-17,180.0,186.69,176.0,179.38,180.39,-1.01,-0.5599,130276.48,2352971.976,172.696,158.279,,,9.066206693854781,7.144287712982376,3.8438379617448106,69.58551802906216,-0.00559897998780412,0.7055033627720566,-0.00559897998780412,100192.4715
688017.SH,2025-09-18,182.87,192.68,174.6,182.19,179.38,2.81,1.5665,169568.02,3133363.941,175.958,160.0905,,,9.700092186891794,7.65544860776426,4.089287158255068,70.98669262571596,0.015665068569517215,0.6962564481847746,0.0,105726.60250000001
688017.SH,2025-09-19,177.0,178.0,169.0,169.92,182.19,-12.27,-6.7347,112286.92,1931317.2,176.736,161.08599999999998,141.30033333333333,,9.107380340275313,7.945834954266471,2.323090772017684,58.34659869414594,-0.06734727482298708,0.747699724782884,-0.06734727482298708,107817.4945
688017.SH,2025-09-22,170.98,172.8,169.58,172.39,169.92,2.47,1.4536,66979.29,1147143.017,176.85399999999998,161.9705,142.092,,8.736254188763525,8.103918801165882,1.2646707751952846,59.89474401913738,0.014536252354048873,0.7429223106188446,-0.053789999451122505,105931.097
688017.SH,2025-09-23,172.88,174.68,166.0,170.54,172.39,-1.85,-1.0731,72200.76,1228267.489,174.88399999999996,162.91,142.882,,8.198349036567521,8.12280484824621,0.15108837664262253,58.151408603975625,-0.010731480944370264,0.7397087420834075,-0.06394423404138538,106966.5045
688017.SH,2025-09-24,168.99,178.88,167.81,178.02,170.54,7.48,4.3861,88635.05,1546758.042,174.61200000000002,164.378,143.84816666666666,,8.28018005366107,8.154279889329182,0.25180032866377644,62.85863083210643,0.04386067784683956,0.74349087161412,-0.022888193643997967,106350.144
688017.SH,2025-09-25,178.88,180.86,176.01,177.51,178.02,-0.51,-0.2865,64058.33,1142991.459,173.676,165.709,144.80499999999998,,8.209247886954728,8.165273488854291,0.08794879620087315,62.34372258273427,-0.0028648466464443745,0.7446205598175136,-0.02568746912563813,105381.3205
688017.SH,2025-09-26,175.0,177.06,171.35,171.79,177.51,-5.72,-3.2224,46316.54,805536.494,174.05,166.7605,145.68383333333335,,7.603825273302135,8.05298384574386,-0.8983171448834497,56.73073738121707,-0.03222353670215761,0.7584174822386296,-0.057083264723640226,104101.092
688017.SH,2025-09-29,171.71,180.96,171.05,178.7,171.79,6.91,4.0224,67203.19,1192143.492,175.31199999999998,168.128,146.74349999999998,,7.594063108493941,7.961199698293877,-0.7342731795998709,61.26747514639924,0.04022352872693413,0.7669797454683868,-0.019155826335144677,103733.22750000001
688017.SH,2025-09-30,179.0,181.88,178.07,180.78,178.7,2.08,1.164,57835.39,1040997.916,177.36,169.1825,147.77666666666667,,7.665798584971924,7.902119475629487,-0.4726417813151258,62.54066797078353,0.011639619473978735,0.7479205854287206,-0.0077391733904166315,98340.27799999999
688017.SH,2025-10-09,180.4,183.94,172.02,180.12,180.78,-0.66,-0.3651,70537.49,1270288.805,177.78,170.466,148.8105,,7.58199249292511,7.838094079088612,-0.5122031723270037,61.8459715293577,-0.0036508463325588547,0.7342440114402001,-0.011361765190186057,97041.63999999998
688017.SH,2025-10-10,179.0,185.27,170.42,173.0,180.12,-7.12,-3.9529,71812.72,1266461.774,176.878,171.9135,149.71283333333332,,6.861950768467608,7.642865416964412,-1.5618292969936078,54.777067597830786,-0.03952920275371974,0.7019769794555571,-0.0504418464240628,95271.249
688017.SH,2025-10-13,160.0,166.5,160.0,164.89,173.0,-8.11,-4.6879,71095.24,1162133.236,175.498,172.8005,150.42950000000002,,5.572665078155126,7.228825349202555,-3.3123205420948594,48.04138346747486,-0.04687861271676308,0.7286858807539088,-0.09495581535759379,95185.64050000001
688017.SH,2025-10-14,167.86,167.86,152.2,153.27,164.89,-11.62,-7.0471,71406.27,1133593.181,170.41199999999998,172.029,150.90533333333335,,3.5720832401250675,6.4974769273870585,-5.850787374523982,40.379821990362146,-0.07047122323973543,0.5653082895883194,-0.1587353861353531,89797.1825
688017.SH,2025-10-15,153.99,162.82,151.8,160.95,153.27,7.68,5.0108,58419.72,920745.727,166.446,171.9515,151.51449999999997,,2.576617888504643,5.713305119610576,-6.273374462211866,46.45753164819521,0.05010765316108823,0.582731119282705,-0.1165815906471267,87880.625
688017.SH,2025-10-16,157.09,158.64,156.0,156.65,160.95,-4.3,-2.6716,32039.68,503735.233,161.752,171.70999999999998,152.01883333333333,,1.4243117823803289,4.855506452164526,-6.862389339568395,43.76730771372682,-0.026716371543957673,0.5901982155603036,-0.14018332510017006,85411.85949999999
688017.SH,2025-10-17,156.0,158.26,151.95,152.6,156.65,-4.05,-2.5854,38358.29,594035.849,157.67199999999997,171.046,152.41199999999998,,0.1821994567002605,3.920845053071673,-7.477291192742825,41.339212298734076,-0.025853814235556993,0.5867533664233658,-0.16241286568966462,82372.6845
688017.SH,2025-10-20,155.65,159.36,152.99,155.68,152.6,3.08,2.0183,46288.59,723100.866,155.82999999999998,170.5285,152.8585,,-0.5473438122137679,3.027207280014585,-7.149102184456706,43.88866463813118,0.020183486238532167,0.5926378882765494,-0.14550743729074034,79572.557
688017.SH,2025-10-21,156.92,157.81,153.58,156.4,155.68,0.72,0.4625,46831.13,730019.68,156.456,169.7585,153.22066666666666,,-1.0552498626482532,2.2107158514820178,-6.531931428260542,44.495946308499974,0.004624871531346386,0.5769306551560557,-0.1415555189637192,75743.7915
688017.SH,2025-10-22,154.0,157.77,153.0,155.7,156.4,-0.7,-0.4476,32879.98,511193.053,155.406,168.524,153.64233333333334,,-1.496996769824591,1.4691733272206962,-5.932340194090575,43.99738716932085,-0.004475703324808289,0.5404947403490421,-0.14539766178165658,70751.454
688017.SH,2025-10-23,155.0,155.0,150.6,154.51,155.7,-1.19,-0.7643,31369.12,478484.282,154.978,167.28050000000002,154.07083333333333,,-1.9209637567026334,0.7911459104360302,-5.4242193342773275,43.11300868021112,-0.00764290301862558,0.5404844486423528,-0.15192930457215004,65806.086
688017.SH,2025-10-24,156.1,160.0,156.1,159.5,154.51,4.99,3.2296,41505.64,656575.591,156.358,166.14600000000002,154.55766666666668,,-1.833177620989403,0.2662812041509436,-4.198917650280693,47.847013892212274,0.03229564429486764,0.5527682936653447,-0.12454031505571106,59402.967000000004
688017.SH,2025-10-27,161.95,162.88,157.26,160.36,159.5,0.86,0.5392,47831.18,764904.851,157.294,165.66799999999998,155.05616666666666,,-1.6749044078694624,-0.12195591825313762,-3.1058969792326496,48.640283783822596,0.005391849529780668,0.503922311722693,-0.11981996816510232,56180.17999999999
688017.SH,2025-10-28,160.2,163.0,157.7,159.92,160.36,-0.44,-0.2744,52576.21,843389.632,157.998,165.0445,155.55766666666665,,-1.5669136635974894,-0.410947467322008,-2.311932392550963,48.23603169580208,-0.002743826390621318,0.49993287044152035,-0.12223502936494879,55460.026
688017.SH,2025-10-29,159.82,161.91,158.1,161.91,159.92,1.99,1.2444,39634.51,633754.04,159.23999999999998,164.613,156.08283333333333,,-1.3057025259075203,-0.5898984790391104,-1.4316080937368199,50.24991847895657,0.012443721860930568,0.5021104809273216,-0.1113123662110983,53831.7135
688017.SH,2025-10-30,161.9,164.09,159.0,159.92,161.91,-1.99,-1.2291,45329.8,729431.084,160.32199999999997,163.708,156.61816666666664,,-1.24491656303465,-0.7209020958382183,-1.0480289343928633,48.22921599807132,-0.012290778827743876,0.47261368020602507,-0.12223502936494879,51666.451
688017.SH,2025-10-31,161.84,167.7,160.66,163.24,159.92,3.32,2.076,64238.73,1056866.208,161.07,162.9945,157.1778333333333,,-0.9182618449657696,-0.7603740456637286,-0.315775598604082,51.71760949396662,0.020760380190095074,0.4813370156649381,-0.10401229485701735,51675.471
688017.SH,2025-11-03,164.88,165.82,158.51,159.5,163.24,-3.74,-2.2911,47838.04,774328.714,160.898,162.38,157.71099999999998,,-0.9502188396985218,-0.7983430044706873,-0.3037516704556691,47.80944670160551,-0.022911051212938016,0.4751230655772492,-0.12454031505571106,51751.546
688017.SH,2025-11-04,159.41,159.44,153.58,154.6,159.5,-4.9,-3.0721,40183.63,625538.326,159.834,161.175,158.05466666666663,,-1.3553108573415784,-0.9097365750448656,-0.8911485645934256,43.20308416450215,-0.03072100313479631,0.45530228826603,-0.15143531478127237,50400.568
688017.SH,2025-11-05,150.06,153.61,149.09,150.5,154.6,-4.1,-2.652,33500.78,506836.058,157.552,159.661,158.3298333333333,,-1.9843110323343751,-1.1246514665027676,-1.719319131663215,39.75185163835866,-0.02652005174644234,0.4549289893050864,-0.17393929414347653,49183.8375
688017.SH,2025-11-06,153.48,163.68,153.04,160.9,150.5,10.4,6.9103,66975.93,1061683.21,157.748,158.7,158.676,,-1.6248745764759178,-1.2246960884973976,-0.8003569759570404,50.544096205167726,0.06910299003322273,0.532405584408449,-0.11685602941983642,49005.7595
688017.SH,2025-11-07,163.8,163.8,156.5,156.53,160.9,-4.37,-2.716,40122.03,634740.902,156.406,157.8765,158.97483333333332,,-1.673351717025838,-1.3144272142030857,-0.7178490056455047,46.754247062777516,-0.027159726538222517,0.5235305165042183,-0.1408419781546737,47421.225
688017.SH,2025-11-10,156.6,158.53,151.58,152.52,156.53,-4.01,-2.5618,35231.11,540530.105,155.01,157.25799999999998,159.28016666666664,,-2.0121488873481326,-1.4539715488320952,-1.1163546770320747,43.52889761096691,-0.02561809237845769,0.5058307265929971,-0.1628519677260003,45628.0185
688017.SH,2025-11-11,154.31,154.86,149.22,150.05,152.52,-2.47,-1.6195,30483.73,462183.566,154.1,157.097,159.49766666666665,,-2.4516948311921,-1.6535162053040962,-1.5963572517760074,41.62414617381232,-0.016194597429845303,0.4432073223592164,-0.17640924309786477,43581.8915
688017.SH,2025-11-12,151.2,152.82,145.88,146.92,150.05,-3.13,-2.086,38575.93,573754.486,153.38400000000001,156.3955,159.66116666666667,,-3.017815501369654,-1.9263760645172079,-2.182878873704892,39.27857593365968,-0.020859713428857174,0.40527929583982425,-0.193589110269499,42589.702000000005
688017.SH,2025-11-13,146.08,149.29,145.0,147.8,146.92,0.88,0.599,27100.78,400004.253,150.76399999999998,155.95300000000003,159.816,,-3.356766846934761,-2.2124542210007188,-2.2886252518680843,40.297215888346635,0.005989654233596653,0.397786418723537,-0.18875898786980616,42342.757
688017.SH,2025-11-14,145.98,147.2,143.46,143.79,147.8,-4.01,-2.7131,25293.27,367258.483,148.21599999999998,155.5125,159.91849999999997,,-3.9039593046061896,-2.550755237721813,-2.706408133768753,37.2321275479692,-0.027131258457374963,0.3988009979591524,-0.21076897744113288,41689.506
688017.SH,2025-11-17,143.5,146.51,143.01,144.77,143.79,0.98,0.6815,19599.64,284254.204,146.666,154.967,159.8595,,-4.210005141190862,-2.882605218415623,-2.654799845550479,38.46399404817491,0.0068154948188332565,0.39139317724742756,-0.20538997749602061,40355.0585
688017.SH,2025-11-18,144.48,147.0,143.22,146.12,144.77,1.35,0.9325,23383.54,340714.848,145.88,154.453,159.83716666666666,,-4.294115068529948,-3.164907188438488,-2.2584157601829196,40.20493466508841,0.009325136423292024,0.3930144085549873,-0.1979801306328558,39182.679
688017.SH,2025-11-19,145.8,147.38,143.57,143.88,146.12,-2.24,-1.533,20535.6,297776.517,145.272,153.86200000000002,159.7155,,-4.489766834182717,-3.4298791175873338,-2.1197754331907666,38.27023008578807,-0.015329865863673797,0.39539700343069156,-0.2102749876502552,38565.46
688017.SH,2025-11-20,145.79,146.48,141.9,141.92,143.88,-1.96,-1.3622,22275.94,319878.744,144.096,153.2325,159.59733333333332,,-4.748243096911466,-3.6935519134521604,-2.109382366918611,36.61014815797454,-0.0136224631637476,0.39676524302810606,-0.22103298754047973,38110.801
688017.SH,2025-11-21,140.3,146.46,139.62,143.35,141.92,1.43,1.0076,42801.31,613657.585,144.008,152.425,159.55383333333333,,-4.782567882845228,-3.911355107330774,-1.7424255510289086,38.69943270253048,0.010076099210823086,0.3772012235853357,-0.21318403864097923,38175.5845
688017.SH,2025-11-24,143.81,148.0,140.5,145.51,143.35,2.16,1.5068,36053.16,519310.285,144.156,151.6825,159.47883333333337,,-4.582650630994522,-4.045614212063524,-1.074072837861996,41.818775537073044,0.015068015347052599,0.38228673650133344,-0.2013282836599155,37586.6835
688017.SH,2025-11-25,147.0,147.71,143.53,143.71,145.51,-1.8,-1.237,42573.37,619582.563,143.67399999999998,150.872,159.29566666666668,,-4.517386110245468,-4.139968591699913,-0.7548350370911106,39.99244247417208,-0.012370283829289952,0.3832008724777613,-0.21120807947746856,37086.5415
688017.SH,2025-11-26,142.8,146.68,141.9,145.31,143.71,1.6,1.1134,33433.77,485260.795,143.95999999999998,150.04199999999997,159.18833333333333,,-4.287137427490535,-4.169402358858037,-0.23547013726499522,42.40046107265248,0.011133532809129543,0.38243469544927444,-0.2024260387507547,36776.504499999995
